[0:07:29.686186] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/8122/achetez-pepito-choco-noir-192g-lu
[0:07:33.242891] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13568/achetez-tartimiel-250g-lune-de-miel
[0:07:36.332194] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9775/achetez-confiture-chataignes-370g-bonne-maman
[0:07:39.419682] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9786/achetez-confiture-myrtilles-370g-bonne-maman
[0:07:42.739825] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/8017/achetez-biscuit-original-154g-oreo
[0:07:46.342111] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/8048/achetez-biscuits-prince-chocolat-au-ble-complet-300g-prince
[0:07:49.486766] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9610/achetez-compote-de-pomme-nature-730g-andros
[0:07:52.939955] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9190/achetez-bonbon-maoam-mix-250g-haribo
[0:07:56.349304] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9310/achetez-bonbons-dragibus-pik-230g-haribo
[0:08:00.140093] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9122/achetez-bonbon-tendresse-de-caramel-158g-werthers-original
[0:08:03.410833] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9784/achetez-pate-a-tartiner-speculoos-400g-lotus
[0:08:16.275969] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9793/achetez-miel-de-fleurs-liquide-375g-lune-de-miel
[0:08:19.415422] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/8043/achetez-biscuits-pepito-pockitos-chocolat-au-lait-295g-lu
[0:08:22.797333] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13223/achetez-gaufrettes-chocolat-146g-brun
[0:08:26.059993] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9419/achetez-levure-chimique-alsacienne-88g-alsa
[0:08:29.192446] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9164/achetez-bonbon-oeufs-au-plat-300g-haribo
[0:08:42.043644] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13265/achetez-gaufrettes-paille-dor-framboise-170g-lu
[0:08:55.024416] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7953/achetez-biscuits-la-barquette-fraise-2x240g-lu
[0:08:59.509704] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9873/achetez-confiture-extra-mures-370g-bonne-maman
[0:09:02.527574] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13479/achetez-farine-ble-t45-1kg-francine
[0:09:05.723340] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9479/achetez-preparation-pour-brioches-maison-1-5kg-francine
[0:09:10.115685] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13576/achetez-confiture-mirabell-b-m-370g
