,Name,Code EAN,price_colis,price_demi_palette,price_palette,unit_price_colis,unit_price_demi_palette,unit_price_palette,num_uvc_colis,num_uvc_demi_palette,num_uvc_palette,DLC
62,Pepito Chocolat Noir 192g - LU,7622210717870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162 jours
63,Tartimiel 250g - LUNE DE MIEL,3088540004440,"35,45 € TTC","2 623,91 € TTC","5 044,12 € TTC","2,95 €","2,54 €","2,46 €",12,1032,2052,480 jours
64,Confiture chataignes 370g - BONNE MAMAN,3045320008920,"17,85 € TTC","1 608,45 € TTC","3 095,75 € TTC","2,98 €","2,55 €","2,47 €",6,630,1254,486 jours
65,confiture myrtilles 370g - BONNE MAMAN,3045320001587,"24,05 € TTC","2 173,41 € TTC","4 180,59 € TTC","4,01 €","3,45 €","3,33 €",6,630,1254,486 jours
66,Biscuit Original 154g - OREO,7622300336738,"24,98 € TTC","1 071,88 € TTC","2 076,24 € TTC","1,56 €","1,34 €","1,30 €",16,800,1600,80 jours
67,Biscuits Prince chocolat au blé complet 300g - PRINCE,7622210449283,"54,69 € TTC","847,71 € TTC","1 586,30 € TTC","2,28 €","1,96 €","1,89 €",24,432,840,60 jours
68,Compote de pomme nature 730g - ANDROS,3608580789758,"13,04 € TTC","750,67 € TTC","1 439,63 € TTC","2,17 €","1,87 €","1,80 €",6,402,798,304 jours
69,Bonbon Maoam Mix 250g - HARIBO,4001686580332,"46,80 € TTC","1 290,24 € TTC","2 488,32 € TTC","2,34 €","2,02 €","1,94 €",20,640,1280,200 jours
70,Bonbons Dragibus Pik; 230g - HARIBO,3103220037867,"64,08 € TTC","1 982,88 € TTC","3 810,24 € TTC","2,14 €","1,84 €","1,76 €",30,1080,2160,300 jours
71,Bonbon tendresse de caramel; 158g - WERTHER'S ORIGINAL,4014400922127,"30,67 € TTC","1 264,90 € TTC","2 446,85 € TTC","2,56 €","2,20 €","2,12 €",12,576,1152,260 jours
72,Pâte à tartiner speculoos 400g - LOTUS,5410126006957,"43,30 € TTC","2 670,75 € TTC","5 159,20 € TTC","3,61 €","3,09 €","2,99 €",12,864,1728,100 jours
73,Miel de fleurs liquide 375g - LUNE DE MIEL,3088540374307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,480 jours.
74,Biscuits Pépito Pockitos chocolat au lait 295g - LU,3017760329798,"46,63 € TTC","1 399,46 € TTC","2 702,91 € TTC","4,66 €","4,00 €","3,86 €",10,350,700,80 jours
75,Gaufrettes chocolat 146g - BRUN,3017760221597,"29,84 € TTC","925,19 € TTC","1 786,58 € TTC","1,07 €","0,92 €","0,89 €",28,1008,2016,80 jours
76,"Levure Chimique Alsacienne, 88g - ALSA",8712100724572,"29,90 € TTC","2 070,67 € TTC","3 965,11 € TTC","1,15 €","0,99 €","0,95 €",26,2088,4176,160 jours
77,Bonbons Oeufs au Plat; 300g - HARIBO,3103220009581,"69,84 € TTC","1 442,88 € TTC","2 782,08 € TTC","2,33 €","2,00 €","1,93 €",30,720,1440,300 jours
78,Gaufrettes paille d'Or framboise 170g - LU,7622210422163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,183 jours
79,Biscuits La Barquette fraise 2x240g - LU,3017760564496,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,164 jours
80,Confiture Extra Mûres 370g - BONNE MAMAN,3045320022247,"22,85 € TTC","2 060,42 € TTC","3 955,68 € TTC","3,81 €","3,27 €","3,15 €",6,630,1254,486 jours
81,"Farine Blé T45, 1Kg - FRANCINE",3068110702235,"17,30 € TTC","743,78 € TTC","1 420,45 € TTC","1,73 €","1,49 €","1,43 €",10,500,990,240 jours
82,"Préparation pour Brioches Maison, 1,5kg - FRANCINE",3068111454232,"17,05 € TTC","966,46 € TTC","1 866,08 € TTC","4,26 €","3,66 €","3,53 €",4,264,528,243 jours
83,Confiture Mirabelle 370g - BONNE MAMAN,3045320001594,"16,33 € TTC","1 475,52 € TTC","2 831,16 € TTC","2,72 €","2,34 €","2,26 €",6,630,1254,486 jours
